item,name,homepage_url,repo_url,logo,crunchbase,twitter,category,subcategory,project,license,description,stock_ticker,additional_repos,url_for_bestpractices,organization.name
,Beam,https://beam.apache.org,https://github.com/apache/beam,beam.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheBeam,Data,Stream Processing,,,,,,,
,Brooklin,https://github.com/linkedin/Brooklin,https://github.com/linkedin/Brooklin,brooklin.svg,https://www.crunchbase.com/organization/linkedin,,Data,Stream Processing,,,,,,,
,faust,https://github.com/robinhood/faust,https://github.com/robinhood/faust,faust.svg,https://www.crunchbase.com/organization/robinhood,,Data,Stream Processing,,,,,,,
,Flink,https://flink.apache.org/,https://github.com/apache/flink,apache-flink.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheFlink,Data,Stream Processing,,,,,,,
,Fluentd,https://www.fluentd.org,https://github.com/fluent/fluentd,fluentd.svg,https://www.crunchbase.com/organization/cloud-native-computing-foundation,https://twitter.com/fluentd,Data,Stream Processing,,,,,,,
,Kafka,https://kafka.apache.org/,https://github.com/apache/kafka,apache-kafka.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/apachekafka,Data,Stream Processing,,,,,,,
,Logstash,https://www.elastic.co/logstash,https://github.com/elastic/logstash,logstash.svg,https://www.crunchbase.com/organization/elasticsearch,https://twitter.com/logstash,Data,Stream Processing,,,,,,,
,NNStreamer,https://nnstreamer.ai/,https://github.com/nnstreamer/nnstreamer,nnstreamer.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,https://twitter.com/NnStreamer,Data,Stream Processing,incubating,,,BC94.L,,,
,Pravega,https://github.com/pravega/pravega,https://github.com/pravega/pravega,pravega.svg,https://www.crunchbase.com/organization/dell,https://twitter.com/PravegaIO,Data,Stream Processing,,,,,,,
,PREFECT,https://docs.prefect.io/,https://github.com/PrefectHQ/prefect,prefect.svg,https://www.crunchbase.com/organization/prefect-technologies-inc,,Data,Stream Processing,,,,,,,
,Pulsar,https://pulsar.apache.org,https://github.com/apache/pulsar,pulsar.svg,https://www.crunchbase.com/organization/apache,,Data,Stream Processing,,,,,,,
,Samza,https://samza.apache.org,https://github.com/apache/samza,apache-samza.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/samzastream,Data,Stream Processing,,,,,,,
,uReplicator,https://github.com/uber/uReplicator,https://github.com/uber/uReplicator,ureplicator.svg,https://www.crunchbase.com/organization/uber,,Data,Stream Processing,,,,,,,
,Apache Drill,https://drill.apache.org/,https://github.com/apache/drill,apache-drill.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheDrill,Data,SQL Engine,,,,,,,
,Hawq,https://hawq.apache.org,https://github.com/apache/hawq,hawq.svg,https://www.crunchbase.com/organization/apache,,Data,SQL Engine,,,,,,,
,Presto,https://prestodb.io/,https://github.com/prestodb/presto,presto.svg,https://www.crunchbase.com/organization/presto-foundation,,Data,SQL Engine,,,,,,,
,SQLFlow,https://sql-machine-learning.github.io/,https://github.com/sql-machine-learning/sqlflow,sqlflow.svg,https://www.crunchbase.com/organization/alibaba,,Data,SQL Engine,,,,,,,
,Trino,https://trino.io/,https://github.com/trinodb/trino,trino.svg,https://www.crunchbase.com/organization/starburst,https://twitter.com/trinodb,Data,SQL Engine,,,,,,,
,bokeh,https://bokeh.org,https://github.com/bokeh/bokeh,bokeh.svg,https://www.crunchbase.com/organization/numfocus,https://twitter.com/BokehPlots,Data,Visualization,,,,,,,
,Carbon,https://www.carbondesignsystem.com/,https://github.com/carbon-design-system/carbon,carbon.svg,https://www.crunchbase.com/organization/ibm,,Data,Visualization,,,,,,,
,D3 (Data-Driven Documents),https://d3js.org,https://github.com/d3/d3,d3.svg,https://www.crunchbase.com/organization/d3js,,Data,Visualization,,,,,,,
,dash,https://github.com/plotly/dash,https://github.com/plotly/dash,dash.svg,https://www.crunchbase.com/organization/plotly,,Data,Visualization,,,,,,,
,deck.gl,https://deck.gl,https://github.com/visgl/deck.gl,deckgl.svg,https://www.crunchbase.com/organization/uber,,Data,Visualization,,,,,,,
,ecco,https://www.eccox.io,https://github.com/jalammar/ecco,ecco.svg,https://www.crunchbase.com/organization/arpeggio,,Data,Visualization,,,,,,,
